id,countryId,name,hasTransfers,hasActivities,photos
1,112,Venice,True,True,"{'header': [{'caption': 'Venice', 'paths': {'original': 'https://cdn2.civitatis.com/italia/venecia/venecia.jpg', 'thumbnail': 'https://cdn2.civitatis.com/italia/venecia/venecia-m.jpg', 'top': 'https://cdn2.civitatis.com/italia/venecia/venecia-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/italia/venecia/venecia-top-m.jpg'}}]}"
2,73,Madrid,True,True,"{'header': [{'caption': 'Madrid', 'paths': {'original': 'https://cdn2.civitatis.com/espana/madrid/madrid.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/madrid/madrid-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/madrid/madrid-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/madrid/madrid-top-m.jpg'}}]}"
3,45,Prague,True,True,"{'header': [{'caption': 'Prague', 'paths': {'original': 'https://cdn2.civitatis.com/republica-checa/praga/praga.jpg', 'thumbnail': 'https://cdn2.civitatis.com/republica-checa/praga/praga-m.jpg', 'top': 'https://cdn2.civitatis.com/republica-checa/praga/praga-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/republica-checa/praga/praga-top-m.jpg'}}]}"
4,73,Menorca,False,False,"{'header': [{'caption': 'Menorca', 'paths': {'original': 'https://cdn2.civitatis.com/espana/menorca/menorca.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/menorca/menorca-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/menorca/menorca-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/menorca/menorca-top-m.jpg'}}]}"
5,180,London,True,True,"{'header': [{'caption': 'London', 'paths': {'original': 'https://cdn2.civitatis.com/reino-unido/londres/londres.jpg', 'thumbnail': 'https://cdn2.civitatis.com/reino-unido/londres/londres-m.jpg', 'top': 'https://cdn2.civitatis.com/reino-unido/londres/londres-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/reino-unido/londres/londres-top-m.jpg'}}]}"
6,140,Marrakech,True,True,"{'header': [{'caption': 'Marrakech', 'paths': {'original': 'https://cdn2.civitatis.com/marruecos/marrakech/marrakech.jpg', 'thumbnail': 'https://cdn2.civitatis.com/marruecos/marrakech/marrakech-m.jpg', 'top': 'https://cdn2.civitatis.com/marruecos/marrakech/marrakech-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/marruecos/marrakech/marrakech-top-m.jpg'}}]}"
7,109,Dublin,True,True,"{'header': [{'caption': 'Dublin', 'paths': {'original': 'https://cdn2.civitatis.com/irlanda/dublin/dublin.jpg', 'thumbnail': 'https://cdn2.civitatis.com/irlanda/dublin/dublin-m.jpg', 'top': 'https://cdn2.civitatis.com/irlanda/dublin/dublin-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/irlanda/dublin/dublin-top-m.jpg'}}]}"
8,75,New York,True,True,"{'header': [{'caption': 'New York', 'paths': {'original': 'https://cdn2.civitatis.com/estados-unidos/nueva-york/nueva-york.jpg', 'thumbnail': 'https://cdn2.civitatis.com/estados-unidos/nueva-york/nueva-york-m.jpg', 'top': 'https://cdn2.civitatis.com/estados-unidos/nueva-york/nueva-york-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/estados-unidos/nueva-york/nueva-york-top-m.jpg'}}]}"
9,75,Las Vegas,True,True,"{'header': [{'caption': 'Las Vegas', 'paths': {'original': 'https://cdn2.civitatis.com/estados-unidos/las-vegas/las-vegas.jpg', 'thumbnail': 'https://cdn2.civitatis.com/estados-unidos/las-vegas/las-vegas-m.jpg', 'top': 'https://cdn2.civitatis.com/estados-unidos/las-vegas/las-vegas-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/estados-unidos/las-vegas/las-vegas-top-m.jpg'}}]}"
12,73,Valladolid,True,True,"{'header': [{'caption': 'Valladolid', 'paths': {'original': 'https://cdn2.civitatis.com/espana/valladolid/valladolid.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/valladolid/valladolid-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/valladolid/valladolid-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/valladolid/valladolid-top-m.jpg'}}]}"
