,Unnamed: 0,region_id,country_id,top_region_id,google_api_level_x,google_id_x,english_name_x,spanish_name_x,top_spot_level_1,top_area_level_1,reference_airport_x,spot_image_x,discover_image_1_x,discover_image_2_x,discover_image_3_x,rules_level_3_x,rules_level_4_x,sports_and_adventure_x,nature_x,attractions_x,beach_x,food_x,nightlife_x,arts_and_culture_x,accomodation_x,created_at_x,updated_at_x,airport_id_x,google_api_level_y,google_id_y,english_name_y,spanish_name_y,reference_airport_y,spot_image_y,discover_image_1_y,discover_image_2_y,discover_image_3_y,rules_level_2,rules_level_3_y,rules_level_4_y,sports_and_adventure_y,nature_y,attractions_y,beach_y,food_y,nightlife_y,arts_and_culture_y,accomodation_y,created_at_y,updated_at_y,country_zoom,region_zoom,locality_zoom,continent_id,airport_id_y,lat,lng
0,0,1,1,,administrative_area_level_1,ChIJRcWdz7HZEQ0RD_Pxd01lycE,Andalusia,Andalucía,0.0,1.0,AGP,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Andalusia/Andalusia+Spot+Profile.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Andalusia/Andalusia.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Andalusia/pexels-rafael-albaladejo-795373.jpg,,,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,47.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,37.5442706,-4.7277528
1,1,2,1,,administrative_area_level_1,ChIJ-W5lP-4UWQ0RWP14-ZVCICA,Aragon,Aragón,0.0,1.0,ZAZ,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Aragon/Portada+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Aragon/aragon-42637.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Aragon/saragossa-59964.jpg,,,,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,2256.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,41.5976275,-0.9056623
2,2,3,1,,administrative_area_level_1,ChIJnbCeYPqMNg0ROp7GfSvztfg,Asturias,Asturias,0.0,1.0,OVD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Asturias/Portada+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Asturias/pexels-geve-photo-510878.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Asturias/pexels-mark-neal-501437.jpg,,,,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,1417.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,43.3613953,-5.8593267
3,3,4,1,,administrative_area_level_1,ChIJV2Jp3FqSlxIRFU2l-yEDh_8,Balearic Islands,Islas Baleares,0.0,1.0,PMI,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Balearic+Islands/Balearic_+Spot+Profile.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Balearic+Islands/balearic.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Balearic+Islands/pexels-attila-marosi-235333.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Balearic+Islands/pexels-zach-besley-280328.jpg,manual,,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,1491.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,39.5341789,2.8577105
4,4,5,1,,administrative_area_level_1,ChIJb6xU497RTw0RPL3jSqEwgjA,Basque Country,País Vasco,0.0,1.0,BIO,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Basque+Country/Basque+Country+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Basque+Country/hermitage-364672.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Basque+Country/sunset-668392.jpg,,,,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,197.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,42.9896248,-2.6189273
5,5,6,1,,administrative_area_level_1,ChIJY1N174aqQQwRwMhLvvNAAwE,Canary Islands,Islas Canarias,0.0,1.0,LPA,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Canary+Islands/Canarias+Portada+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Canary+Islands/krisjanis-mezulis--r4C7TXOGyM-unsplas.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Canary+Islands/pexels-super-claudioo-669772.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Canary+Islands/tom-swinnen-G719UpPhLlo-unsplas.jpg,manual,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,1093.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,28.2915637,-16.6291304
6,6,7,1,,administrative_area_level_1,ChIJy78OCdsgSQ0R0MjJc4L1BAE,Cantabria,Cantabria,0.0,1.0,SDR,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Cantabria/Cantabria+Portada+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Cantabria/landscape-647041.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Cantabria/santander-253337.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Cantabria/sea-646584.jpg,,,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,1675.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,43.1828396,-3.9878427
7,7,8,1,,administrative_area_level_1,ChIJK6f5rcBfZg0R0rZyF5O64Ts,Castilla-La Mancha,Castilla La Mancha,0.0,1.0,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Castilla+La+Mancha/Castilla+la+Mancha+Portada+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Castilla+La+Mancha/Castilla+la+Mancha_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Castilla+La+Mancha/toledo-339051.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Castilla+La+Mancha/toledo-491731.jpg,,,3.0,4.0,5.0,0.0,5.0,4.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,1146.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,39.2795607,-3.097702
8,8,9,1,,administrative_area_level_1,ChIJ95OAA5CaNw0RpVYFgwZ7npY,Castilla y Leon,Castilla y Leon,0.0,1.0,VLL,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Castilla+y+Leon/Castilla+y+Leon+Portada+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Castilla+y+Leon/castle-433867.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Castilla+y+Leon/valladolid-422148.jpg,,,,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,2033.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,41.83568210000001,-4.397635699999999
9,9,10,1,,administrative_area_level_1,ChIJ8_UwhdxbpBIRUMijIeD6AAE,Catalonia,Cataluña,0.0,1.0,BCN,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Catalonia/Catalonia+portada+SPOT_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Catalonia/angela-compagnone-7-rUmLJK5Qo-unsplas.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Catalonia/pexels-oleg-prachuk-795555.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Catalonia/pexels-oleg-prachuk-819054.jpg,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2021-11-15 15:05:46,2021-11-15 15:05:46,152.0,country,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,Spain,España,MAD,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/SPAIN+SPOT+Profile_.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_2.jpg,https://beder-app.s3.eu-west-3.amazonaws.com/SPOT_PROFILES/COUNTRIES/EUROPE/Spain/Spain_3.jpg,manual,administrative_area_level_2,locality,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-04-05 22:42:01,2022-04-05 22:42:01,2z,"3,5z","8,5z",2.0,1146.0,41.5911589,1.5208624
